symbol,max_pae,mean_plddt,max_plddt,min_plddt,mean_ptm,max_ptm,min_ptm,mean_iptm,max_iptm,min_iptm,min_sa_i_1,min_sa_i_2,max_sa_i_1,max_sa_i_2,avg_sa_i_1,avg_sa_i_2,min_sa_ni_1,min_sa_ni_2,max_sa_ni_1,max_sa_ni_2,avg_sa_ni_1,avg_sa_ni_2,min_fi_i_1,min_fi_i_2,max_fi_i_1,max_fi_i_2,avg_fi_i_1,avg_fi_i_2,min_fi_ni_1,min_fi_ni_2,max_fi_ni_1,max_fi_ni_2,avg_fi_ni_1,avg_fi_ni_2
MAPK1_SRSF3,31.703125,70.53,75.5495,68.198,0.69,0.76,0.66,0.28,0.7,0.14,-40.7868,-67.6149,-26.1,-45.947,-34.2833,-59.7877,-1.7251,-4.9194,-0.3327,0.4437,-0.9931,-2.2135,-0.2002,-0.3493,0.0933,-0.0015,-0.0769,-0.1753,-0.0162,-0.0557,0.0075,0.0103,-0.007,-0.03
CD274_RAB20,31.734375,74.43,76.8424,71.9278,0.53,0.66,0.47,0.38,0.65,0.26,-42.312,-54.5399,-35.9376,-44.607,-38.477,-49.6194,3.0825,-2.3423,4.9488,-0.2689,3.9067,-1.2146,-0.057,-0.0449,0.0983,0.0865,-0.0085,0.0343,-0.0326,0.0157,0.0019,0.0524,-0.0166,0.04
TP53_CDKN2A,31.734375,60.82,61.8205,59.9713,0.44,0.47,0.42,0.21,0.31,0.15,-50.8263,-46.5422,-29.7794,-32.012,-41.9018,-37.4943,-2.5347,-5.0771,-1.7081,-3.7736,-2.137,-4.6451,-0.3031,-0.0156,0.0791,0.1559,-0.1486,0.0453,-0.0868,-0.0721,-0.0126,-0.0304,-0.0471,-0.0487
SET_ANP32A,31.734375,63.38,64.8196,62.7233,0.39,0.41,0.38,0.14,0.17,0.11,-35.2267,-50.2253,-20.9578,-35.6789,-29.9073,-43.4628,1.2351,-2.5894,2.6852,2.273,2.0208,-0.822,-0.0553,0.0372,0.0471,0.2411,-0.0106,0.1596,0.014,0.0068,0.052,0.0354,0.0342,0.0237
DDIT3_CEBPA,31.71875,39.23,39.9083,38.6095,0.32,0.34,0.31,0.42,0.46,0.4,-57.4312,-41.7845,-42.8551,-31.1255,-51.7405,-36.5233,-4.1531,1.9825,1.8955,3.5945,-0.0777,2.8471,-0.0778,-0.1429,0.0338,0.0174,-0.0096,-0.0399,-0.0818,-0.1398,-0.0073,-0.0314,-0.0488,-0.0774
TP53_ASIP,31.71875,53.28,54.3661,52.3334,0.44,0.44,0.43,0.15,0.17,0.13,-40.9969,-62.9382,-28.7701,-41.2187,-35.2341,-47.93,-3.45,-4.664,-1.4751,7.6679,-2.4646,2.6309,-0.2378,-0.2692,0.1611,0.2164,-0.0089,-0.0244,-0.0799,-0.1883,-0.0283,0.0321,-0.0467,-0.0771
CEBPA_DDIT3,31.703125,39.34,39.925,38.43,0.32,0.34,0.31,0.43,0.47,0.4,-41.4543,-58.1548,-35.3256,-43.614,-38.0876,-51.2909,2.124,-4.362,6.2568,2.451,3.5625,-0.1695,-0.1052,-0.0292,0.0564,0.045,-0.0084,0.0053,-0.104,-0.176,-0.021,-0.0301,-0.0693,-0.0734
CREB1_TREML4,31.71875,40.56,42.6995,38.8873,0.3,0.3,0.29,0.2,0.24,0.13,-57.7049,-58.6281,-35.5802,-40.3294,-44.3353,-47.0013,-0.7055,2.5762,6.363,4.1698,3.1953,3.5747,-0.3778,-0.097,-0.0434,0.0846,-0.2215,-0.0089,-0.0999,-0.1185,-0.0148,-0.0415,-0.0523,-0.0809
RAD51B_PLAC8L1,31.6875,60.05,61.4353,58.9679,0.5,0.52,0.49,0.13,0.17,0.11,-40.426,-52.7918,-27.4737,-26.2564,-31.606,-43.883,-2.1361,-7.3878,-0.0542,-1.6333,-1.3854,-3.8535,-0.0839,-0.1214,0.1634,0.0685,-0.0053,-0.0402,-0.0367,-0.075,0.0112,0.0352,-0.0144,-0.0111
CDKN2C_CCDC86,31.71875,46.27,47.3056,44.0458,0.36,0.36,0.35,0.17,0.23,0.11,-49.0181,-48.6589,-30.7187,-32.5398,-39.6836,-40.5517,-3.7565,-8.8271,-2.7161,-1.3935,-3.282,-5.8192,-0.1362,-0.1195,-0.0074,0.2215,-0.0777,0.0564,-0.0352,-0.0554,-0.011,0.0092,-0.0238,-0.0284
CDK4_PSMD10,31.546875,77.96,79.825,76.4387,0.54,0.55,0.53,0.17,0.18,0.17,-44.8346,-34.602,-28.6792,-24.3204,-37.3326,-28.8821,-3.2361,-1.5952,-2.2413,0.427,-2.7554,-0.9372,-0.1055,-0.1629,0.1385,-0.0349,0.013,-0.0671,0.0074,-0.013,0.0461,-0.0034,0.0186,-0.0074
BCL2_EXOSC2,31.71875,66.9,68.5396,64.6193,0.46,0.47,0.45,0.13,0.16,0.12,-40.784,-42.2676,-29.8423,-27.447,-36.5376,-34.1573,-0.3143,-5.6878,3.9911,-1.8408,1.8472,-4.3185,0.0108,-0.0136,0.1174,0.1818,0.0521,0.0679,-0.0861,-0.0676,-0.0429,-0.015,-0.072,-0.0366
CDKN1B_COPS5,31.71875,46.33,47.3706,44.5084,0.47,0.48,0.46,0.2,0.21,0.17,-58.5501,-39.2633,-39.1127,-21.9509,-51.5667,-31.0913,-4.3192,-3.5256,-1.0017,2.9031,-2.2606,-0.122,-0.1436,-0.0386,-0.0085,0.1645,-0.0755,0.0481,-0.0856,-0.0123,0.0548,0.0355,-0.0496,0.0093
MAPK1_TSEN15,31.609375,74.69,76.3453,73.4074,0.7,0.71,0.69,0.27,0.3,0.25,-39.8846,-59.9603,-36.2482,-40.4883,-38.4464,-50.4698,-1.3245,-15.7736,-0.7689,-10.1298,-1.099,-12.7673,-0.2912,-0.1385,-0.0126,0.2341,-0.1674,0.0394,-0.0254,-0.0273,0.0058,-0.004,-0.0094,-0.0178
RHOA_POU4F3,31.734375,56.89,57.9223,56.2137,0.4,0.41,0.4,0.16,0.19,0.14,-47.5527,-44.4835,-36.9672,-34.1411,-41.4865,-39.5454,-1.0391,-4.7686,0.1937,-1.6034,-0.668,-2.7552,-0.0486,0.0286,0.0268,0.0576,-0.0113,0.0371,-0.0022,0.0121,0.0181,0.0865,0.0082,0.044
SMAD3_POLD4,31.71875,69.22,70.1171,67.9748,0.55,0.61,0.51,0.2,0.29,0.14,-29.4266,-67.4225,-22.0387,-37.8968,-25.5252,-54.3738,-0.8822,-13.3465,0.5853,2.9218,-0.112,-4.5713,-0.1697,-0.1393,0.0866,-0.0125,-0.0349,-0.0655,-0.0195,-0.0878,0.0226,0.0495,0.0063,-0.0355
RAC1_SRR,31.609375,83.9,84.4695,83.5603,0.62,0.63,0.6,0.15,0.17,0.12,-40.5043,-35.6121,-33.4481,-29.3525,-36.4476,-31.9879,-0.8131,-1.6729,0.006,-0.4704,-0.5765,-1.093,-0.175,-0.0073,-0.0099,0.1121,-0.1175,0.0335,-0.0197,0.0056,0.0315,0.0272,0.007,0.0191
JUN_PTPMT1,31.6875,52.45,55.0542,50.9062,0.42,0.43,0.41,0.18,0.26,0.13,-52.5975,-55.8574,-28.4324,-35.4025,-42.3562,-44.412,-0.8238,-2.5426,6.0727,-0.5878,1.9367,-1.5082,-0.2721,-0.0783,0.1187,0.0146,-0.0297,-0.027,-0.0173,-0.0808,0.0136,-0.0057,0.0028,-0.0316
CDKN2A_RNF149,31.734375,63.62,64.6904,61.2512,0.37,0.39,0.35,0.17,0.27,0.13,-38.0236,-52.9112,-25.1987,-35.0145,-29.9563,-48.0917,-5.0965,0.5922,-3.498,2.0552,-4.1515,1.426,-0.0038,-0.0418,0.129,0.2245,0.0503,0.058,-0.1321,-0.0254,-0.0459,-0.0124,-0.0707,-0.0181
RAC1_ARFIP2,31.703125,70.89,71.3756,69.7511,0.46,0.47,0.43,0.18,0.26,0.13,-43.2619,-43.7807,-23.3125,-35.2944,-32.8714,-39.7876,-1.616,8.4299,-0.1695,10.8628,-0.7969,9.8722,-0.0879,-0.0901,0.0613,0.08,-0.0371,0.0194,-0.0238,-0.0477,0.014,-0.0162,-0.0082,-0.0341
BCL2_SMN1,31.6875,43.42,44.1064,42.2122,0.39,0.4,0.38,0.19,0.21,0.14,-32.9221,-49.2881,-16.9776,-37.2461,-27.3314,-43.5992,-1.588,-3.645,0.2499,2.3267,-0.701,-0.2715,-0.0206,-0.1875,0.1643,0.0052,0.0637,-0.0824,-0.0881,-0.1212,0.0003,-0.0602,-0.0495,-0.0785
TP53_TRAPPC2L,31.734375,63.37,64.4893,62.5195,0.44,0.45,0.43,0.19,0.26,0.12,-43.1033,-48.1627,-33.425,-32.4326,-38.8352,-37.7151,-6.4308,-5.6471,-1.8159,-2.1394,-3.1693,-3.649,-0.2579,-0.0722,-0.115,0.0144,-0.1918,-0.0348,-0.0649,0.0438,-0.0388,0.0748,-0.0508,0.0589
SMAD3_RBX1,31.671875,68.83,69.3702,68.1465,0.6,0.62,0.58,0.24,0.29,0.22,-36.2582,-75.4517,-28.3614,-59.7078,-32.3542,-68.241,-0.216,-11.1712,1.3996,-4.1064,0.5879,-7.0969,-0.0572,0.2423,0.0046,0.5951,-0.0224,0.473,-0.0324,-0.042,0.0115,0.0603,-0.01,0.0044
DDB2_RBX1,31.71875,67.23,68.806,65.6214,0.67,0.67,0.66,0.24,0.27,0.23,-38.3497,-72.4491,-29.8069,-54.5379,-35.3789,-66.2988,-3.8532,-11.6736,0.8892,-4.7146,-1.5206,-7.2475,-0.0826,0.228,0.0588,0.3764,-0.0031,0.3088,-0.0178,0.0175,0.0386,0.096,0.0117,0.0582
SOX2_DCAF16,31.71875,30.85,32.0444,29.9619,0.26,0.28,0.24,0.19,0.23,0.15,-43.9867,-70.0768,-31.7428,-38.0633,-37.334,-53.9396,-2.6606,-27.8689,2.0384,-5.0902,-0.9436,-17.5078,-0.0531,-0.0148,0.0979,0.1943,0.0003,0.0553,-0.0534,-0.0748,0.0404,0.0767,0.0031,-0.0001
SMAD2_SERP1,31.703125,66.1,67.2799,64.5686,0.61,0.64,0.59,0.18,0.2,0.16,-56.6678,-70.3474,-9.9613,-51.2229,-39.0833,-57.0102,-3.1517,-15.7944,-0.0225,-2.0233,-1.5478,-8.8434,-0.1303,-0.0926,0.0791,0.1949,0.0046,0.0693,0.0294,-0.0774,0.0504,0.1103,0.0402,0.0091
TP53_NINJ2,31.734375,56.33,57.5031,55.7387,0.45,0.46,0.44,0.21,0.25,0.18,-59.5736,-60.9825,-37.366,-27.69,-45.7471,-45.6532,-4.8611,-3.1027,-3.2077,-0.8159,-3.974,-1.5848,-0.6639,-0.0798,-0.0443,0.3421,-0.2793,0.1607,-0.0375,-0.098,0.0149,0.0067,-0.0099,-0.0408
CCNE1_KRBOX5,31.71875,59.25,60.503,58.0878,0.58,0.59,0.56,0.22,0.27,0.19,-34.1158,-52.0898,-25.5031,-38.7133,-30.2558,-48.1785,3.726,-17.3267,4.8257,11.9899,4.2867,-2.0606,-0.0277,-0.3547,0.1056,0.2444,0.0165,-0.0108,-0.0433,-0.2258,-0.0111,-0.0469,-0.0261,-0.1456
SOX2_H1-4,31.734375,37.87,39.3138,36.9895,0.23,0.23,0.22,0.1,0.12,0.08,-45.1304,-74.6423,-11.7475,-23.0613,-29.651,-43.0244,-1.1016,-2.9937,2.8076,2.2462,0.9794,-1.2713,-0.2547,-0.2452,0.1151,0.926,-0.078,0.2207,-0.0345,-0.0177,0.0494,0.0437,0.0121,0.0132
BCL2_CDK1,31.671875,69.44,70.5807,68.3182,0.59,0.63,0.55,0.22,0.36,0.13,-40.4376,-51.5335,-27.53,-26.2421,-33.6603,-40.9647,-2.7483,-1.8992,2.4269,-0.8756,0.7134,-1.2956,-0.11,-0.0289,0.146,0.3808,-0.0243,0.1209,-0.0951,-0.0202,-0.0157,0.0056,-0.0583,-0.0113
RAC1_PARD6A,31.703125,60.65,64.0978,58.1392,0.43,0.49,0.41,0.25,0.58,0.13,-57.0885,-49.6886,-32.8109,-25.093,-45.1173,-40.9091,-4.3761,-2.2099,-1.7819,3.4037,-2.934,0.1526,0.0204,-0.1688,0.0702,0.0901,0.0418,-0.0156,-0.0451,-0.0195,0.0234,0.0898,-0.003,0.0085
BAX_BAG1,31.6875,56.92,59.7228,52.5769,0.35,0.39,0.31,0.18,0.24,0.12,-40.557,-33.7356,-36.6052,-24.0151,-38.6799,-28.6944,-1.4457,-4.9657,0.7947,-2.2025,-0.8563,-3.2951,-0.0086,-0.0525,0.1733,0.0198,0.0567,-0.0148,-0.0081,-0.0124,0.0347,0.0567,0.0126,0.0204
EIF3E_DEFA5,31.71875,70.66,72.1809,69.3069,0.7,0.72,0.69,0.2,0.25,0.16,-38.7141,-53.0906,-26.6694,-36.7687,-31.0599,-45.6933,-4.4818,-9.7409,-2.6761,7.6897,-3.4366,-0.856,-0.0469,-0.0367,0.1023,0.2257,0.0309,0.0937,-0.031,-0.0919,0.0058,0.0677,-0.0145,-0.0037
DDIT3_HSD3B7,31.703125,66.63,67.6079,66.0007,0.68,0.69,0.67,0.18,0.23,0.15,-68.7319,-41.4414,-35.011,-30.8807,-53.5919,-36.541,-7.7864,-1.3974,3.5088,0.3275,-1.4455,-0.8056,-0.102,0.0369,0.0889,0.1113,-0.0124,0.0662,-0.0589,-0.0248,0.013,0.0217,-0.02,-0.0119
POU2AF1_SIAH1,31.734375,53.7,53.8441,53.4639,0.49,0.5,0.48,0.23,0.28,0.17,-111.2195,-32.2914,-69.4974,-27.2933,-92.4903,-29.0492,-3.1065,-2.4726,-0.0394,-1.2839,-1.436,-1.7247,-0.2346,-0.0243,0.1755,0.044,-0.0364,0.0184,-0.1496,-0.0309,-0.0179,-0.0116,-0.0812,-0.0228
BTG1_PRMT1,31.671875,74.76,75.7261,73.9206,0.62,0.63,0.61,0.15,0.18,0.12,-63.3343,-49.7454,-22.4223,-21.7349,-43.2007,-32.8952,-15.892,0.3445,5.3653,1.0819,-2.8082,0.6122,-0.1067,-0.1588,0.1194,-0.0115,-0.0058,-0.061,-0.0507,-0.069,0.0265,-0.0201,-0.0169,-0.0469
CALR_NHLRC4,31.703125,79.54,80.4952,78.3579,0.64,0.65,0.64,0.28,0.31,0.25,-37.5231,-43.0247,-24.9661,-31.5894,-32.1336,-37.8505,-0.0162,-7.2225,0.8232,-3.0471,0.5198,-5.6875,-0.077,-0.2863,-0.0206,-0.0061,-0.0549,-0.1428,0.0082,-0.1575,0.0163,-0.0665,0.0118,-0.088
SPOP_UFC1,31.65625,78.3,79.9535,77.2534,0.39,0.41,0.38,0.12,0.15,0.11,-82.2539,-38.1627,-34.3848,-13.9288,-58.4061,-23.5816,-3.9285,-1.6268,0.7337,2.278,-2.1787,0.55,-0.1485,0.0014,0.4027,0.1208,0.1453,0.0352,-0.0327,0.0004,0.012,0.0543,-0.0134,0.0209
BCL3_HEPN1,31.703125,51.88,52.3526,51.5883,0.51,0.51,0.5,0.29,0.32,0.25,-35.3698,-95.1933,-24.5398,-75.7892,-28.692,-83.4381,-2.7359,-48.7571,-0.3412,-0.5855,-1.2132,-20.1687,-0.0656,-0.1461,0.034,-0.0071,-0.0166,-0.1069,-0.0186,-0.1864,0.0256,0.048,0.0111,-0.0546
NFKBIE_FGF12,31.71875,65.42,66.5138,64.627,0.49,0.5,0.49,0.17,0.18,0.16,-70.058,-57.4099,-21.2254,-18.6465,-35.0229,-42.3232,0.5632,-6.6112,4.2134,-1.4099,2.781,-3.5178,-0.337,-0.1475,0.2229,0.0457,-0.0659,-0.0382,-0.0912,0.0118,-0.0346,0.0785,-0.061,0.0478
TP53_HSPB3,31.71875,53.53,54.2537,52.4546,0.44,0.46,0.42,0.19,0.26,0.14,-42.1249,-45.4934,-35.6729,-18.5894,-39.4993,-27.4812,-4.0916,-13.3953,-2.6955,11.1711,-3.5383,-3.4363,-0.2792,0.0465,-0.0691,0.3222,-0.1353,0.1243,-0.0509,-0.0651,-0.0213,0.0372,-0.0357,-0.0209
MAP2K4_BAALC,31.71875,56.45,58.0186,55.3072,0.59,0.61,0.58,0.2,0.23,0.15,-34.4324,-99.2362,-26.3037,-69.6863,-30.4978,-87.5164,-3.9041,-11.4189,-1.8426,-1.742,-2.8735,-6.6877,-0.3099,-0.0895,0.0053,0.0957,-0.1397,0.0252,-0.0288,-0.0442,0.0128,0.1156,-0.0009,0.0326
TP53_UBE2A,31.734375,65.04,66.1832,64.2582,0.43,0.45,0.42,0.17,0.23,0.13,-53.8026,-46.5928,-33.0663,-33.2304,-43.3564,-38.9949,-3.6428,-3.9035,-2.1475,-1.3969,-2.8744,-2.8927,-0.3194,-0.0023,-0.0443,0.0885,-0.1388,0.0509,-0.0907,-0.0096,-0.0201,0.0284,-0.0489,0.0061
MITF_HINT1,31.71875,42.06,43.0556,40.9877,0.26,0.27,0.26,0.33,0.48,0.17,-71.8886,-31.943,-49.4814,-18.1435,-60.3831,-24.6062,-4.3837,-5.1535,2.8973,-0.1984,-0.3665,-1.8082,-0.2565,0.043,0.4201,0.2421,0.1418,0.0911,-0.1212,-0.0671,-0.002,0.0163,-0.0769,-0.0156
CCND1_MRPL47,31.6875,61.73,65.4914,59.0406,0.51,0.53,0.48,0.19,0.29,0.13,-46.8979,-67.4452,-34.1362,-48.6524,-40.3372,-59.941,-2.4653,-8.5508,-0.9168,-6.0148,-2.0076,-6.81,-0.0982,-0.2135,-0.0202,0.1607,-0.0747,-0.0508,-0.049,-0.043,-0.0191,0.0103,-0.0346,-0.0148
TP53_UBE2N,31.71875,64.68,65.7179,63.5901,0.43,0.44,0.42,0.19,0.22,0.16,-71.9095,-49.095,-30.5074,-31.1502,-46.4632,-38.0165,-3.8066,-5.1344,-2.1665,-2.598,-3.0415,-3.5658,-0.3124,-0.0569,0.0399,0.0544,-0.1068,-0.0056,-0.0949,-0.0112,0.0219,0.0391,-0.0452,0.0181
BCL2_PPP2CA,31.6875,74.53,75.5458,73.6912,0.6,0.61,0.6,0.18,0.19,0.17,-40.1322,-53.0016,-31.0979,-47.7489,-35.6425,-51.5032,-0.6125,-1.7828,2.6173,-0.2575,1.1391,-1.4049,-0.1621,-0.0104,-0.0183,0.3548,-0.0971,0.1595,-0.0946,0.0002,-0.0141,0.0196,-0.0583,0.0134
SOX2_CACYBP,31.71875,49.95,52.0805,48.1782,0.3,0.36,0.28,0.2,0.48,0.09,-75.762,-50.7717,-21.3473,-28.0488,-47.7394,-40.9848,-1.1825,-4.1556,1.9931,0.4602,0.2889,-2.0376,-0.3031,-0.1169,0.279,0.0709,-0.0244,-0.0489,-0.055,-0.0183,0.022,0.0329,-0.0122,-0.0043
HRAS_PTGR3,31.6875,80.03,80.6906,79.4359,0.63,0.63,0.62,0.14,0.16,0.12,-35.4446,-45.8933,-34.1377,-42.4494,-34.8793,-44.6159,-1.3176,2.7503,0.1223,4.1875,-0.6925,3.6606,-0.0857,-0.152,0.0874,0.0899,-0.0162,-0.0488,-0.0495,0.0336,0.0018,0.0585,-0.0317,0.048
RAD51B_SOCS2,31.59375,64.94,66.2422,63.6119,0.48,0.49,0.47,0.12,0.15,0.1,-65.3722,-69.3182,-20.6935,-26.9466,-39.2384,-48.6586,-2.8279,-12.5829,-0.1152,-0.0351,-1.2239,-4.9088,-0.153,-0.1057,0.0978,0.145,-0.0152,-0.0248,-0.0668,-0.0086,-0.0089,0.1479,-0.0302,0.0642
BCL10_TMEM231,31.71875,69.15,70.4704,67.794,0.52,0.56,0.49,0.18,0.32,0.09,-77.339,-46.8055,-31.8855,-10.5245,-55.7772,-37.0771,-8.0719,-4.7717,1.2406,0.5121,-4.1174,-1.963,-0.385,-0.227,0.1334,0.0299,-0.0882,-0.0331,-0.1323,-0.0302,-0.0575,-0.0063,-0.0874,-0.0157
TP53_ZNHIT3,31.734375,56.63,57.2426,56.1827,0.43,0.44,0.42,0.18,0.2,0.16,-43.078,-62.4191,-38.4129,-40.3096,-40.5521,-48.4201,-4.4306,-24.8139,-2.4307,-4.3297,-3.6364,-15.16,-0.3031,-0.1663,-0.0479,0.0414,-0.1744,-0.0486,-0.0862,-0.021,0.0197,0.0869,-0.034,0.0255
DDIT3_FOS,31.71875,37.37,38.5077,36.5394,0.3,0.31,0.29,0.41,0.44,0.4,-55.6232,-50.5381,-43.8489,-41.3592,-50.4109,-47.7053,-3.4497,-3.6841,2.8571,0.5798,0.5828,-1.0881,-0.1651,-0.1461,0.0677,0.1069,-0.0308,0.015,-0.0918,-0.1063,-0.0174,0.0731,-0.0591,-0.035
CD274_ENOPH1,31.6875,78.45,81.3813,76.1683,0.51,0.6,0.48,0.18,0.41,0.1,-40.681,-58.0502,-27.7171,-40.757,-36.4383,-46.821,3.542,-1.2025,5.2255,1.3716,4.3644,-0.185,-0.069,-0.0033,0.049,0.0322,-0.0254,0.0107,-0.0414,-0.0071,0.0272,0.0085,-0.0152,0.002
DNAJB1_BAG2,31.6875,65.19,67.1855,61.8417,0.35,0.36,0.34,0.13,0.16,0.11,-33.3377,-45.4201,-18.5739,-29.9783,-23.9571,-37.1721,0.9613,-1.7834,3.7636,0.0188,2.536,-0.9599,-0.1122,-0.1228,0.1347,0.0121,0.0436,-0.0364,-0.0437,0.0568,0.0281,0.1072,-0.0054,0.0851
SMAD2_CHCHD7,31.6875,68.91,70.6402,67.5328,0.56,0.58,0.54,0.18,0.21,0.17,-89.3873,-45.9045,-60.2929,-26.7781,-73.9533,-37.4753,-2.9901,-6.8093,-1.1705,-4.5909,-2.0239,-5.1816,-0.2486,-0.2954,0.2407,-0.0102,0.0098,-0.1035,0.0238,-0.1731,0.0638,-0.0531,0.0374,-0.1211
TP53_UBE2I,31.734375,66.61,67.8048,64.8601,0.43,0.45,0.42,0.19,0.27,0.14,-41.9747,-54.5322,-37.9332,-28.7981,-40.1093,-40.8101,-3.0785,-2.5941,-2.0982,-1.4135,-2.3955,-2.2407,-0.3649,-0.1712,0.3817,0.0837,-0.031,-0.0395,-0.0771,-0.0192,-0.0417,0.0524,-0.0615,0.0064
RAC1_EPHX4,31.640625,78.58,79.5579,77.82,0.59,0.61,0.58,0.17,0.21,0.15,-60.4056,-40.4469,-33.4216,-25.7215,-46.0144,-33.68,-1.5249,1.6241,-0.3754,3.7608,-0.8115,3.0649,-0.0944,-0.2189,-0.0478,0.0092,-0.0616,-0.1143,-0.0184,-0.0441,0.0074,-0.0084,-0.007,-0.0281
RHOA_NFKBIE,31.671875,69.0,69.7247,68.2595,0.5,0.51,0.49,0.21,0.24,0.16,-85.467,-28.3358,-49.585,-23.7173,-65.8383,-25.9291,-2.6838,2.1786,-0.4189,5.4772,-1.5069,4.0814,-0.436,-0.1221,0.0543,-0.0722,-0.0934,-0.0887,-0.0178,-0.0786,0.0249,-0.0235,-0.004,-0.0525
HNRNPA2B1_VHL,31.734375,51.5,53.4284,50.4823,0.35,0.37,0.34,0.13,0.15,0.12,-70.151,-66.2346,-30.0301,-35.7194,-42.1756,-46.8114,-12.5472,-3.714,-2.5302,-1.3882,-6.9997,-2.6733,-0.0101,-0.0252,0.1179,0.08,0.0487,0.0196,-0.0031,-0.0212,0.1045,0.0226,0.0274,0.0105
BCL2_BNIP2,31.71875,59.57,64.1101,57.4518,0.44,0.61,0.38,0.23,0.65,0.1,-34.077,-51.0306,2.9924,-29.8192,-24.252,-42.2656,1.3427,-4.5655,5.6247,0.1733,2.6946,-1.4602,-0.0416,-0.1309,0.1355,0.0463,0.0587,-0.0163,-0.1199,-0.0963,-0.0091,0.0018,-0.0547,-0.0394
CCND1_PCNA,31.6875,78.89,81.0788,75.6389,0.49,0.49,0.48,0.1,0.11,0.1,-46.7884,-38.3033,-30.6194,-23.6673,-36.3882,-30.5128,-1.02,-1.1287,-0.0688,0.0849,-0.7739,-0.4728,-0.223,-0.0322,0.0318,0.0226,-0.0808,-0.0043,-0.0356,0.0032,-0.0263,0.0371,-0.0309,0.0255
SS18_RPL28,31.71875,29.92,32.2672,27.7831,0.23,0.26,0.21,0.16,0.19,0.14,-49.5608,-37.9871,-28.5738,-28.0905,-39.931,-33.3421,-15.0149,-4.8267,-4.9478,-1.6446,-9.7433,-2.6508,-0.0528,-0.2253,0.0849,0.1199,0.0269,0.0131,-0.0252,-0.0931,0.0541,0.0143,0.0052,-0.0223
TP53_PIN1,31.734375,60.77,61.6227,59.5329,0.43,0.46,0.41,0.31,0.35,0.26,-82.406,-33.7154,-47.7456,-24.528,-62.4167,-31.3248,-5.7022,-5.681,-1.4575,5.5387,-3.3456,-0.955,-0.2446,-0.0092,0.0961,0.0555,-0.0347,0.0284,-0.063,-0.0862,-0.0342,0.0599,-0.048,-0.0045
CCNE1_CALML5,31.703125,61.01,63.0582,59.7679,0.54,0.56,0.52,0.17,0.21,0.14,-32.604,-58.1792,-24.5584,-39.7225,-27.4784,-48.2454,3.4714,-25.8797,4.5635,-13.9793,3.9744,-18.627,-0.1594,-0.0309,0.0562,0.0964,-0.0385,0.0358,-0.0369,-0.1647,0.0169,0.0304,-0.0049,-0.0651
BAX_SH3GLB1,31.6875,69.72,70.9769,67.9345,0.48,0.54,0.45,0.25,0.34,0.11,-42.8638,-49.6305,-33.0082,-29.5267,-35.9017,-40.0463,-1.6592,-6.1251,0.2718,2.0238,-0.8204,-1.1454,-0.0779,0.0056,0.0472,0.1499,-0.0148,0.0623,-0.0114,0.0192,0.0259,0.0801,0.0056,0.052
JUN_PSPH,31.71875,52.78,53.7844,52.294,0.43,0.44,0.43,0.17,0.21,0.14,-52.2759,-41.9506,-31.9676,-28.7842,-41.5007,-35.946,-1.9045,-1.1704,6.0155,0.0854,2.8904,-0.722,-0.1229,-0.0812,0.1797,0.1734,-0.0115,0.0885,-0.1221,-0.0025,-0.0141,0.0216,-0.0644,0.0086
TP53_CDKN1A,31.71875,52.29,53.84,50.9166,0.44,0.44,0.43,0.19,0.21,0.18,-48.7383,-64.9925,-37.0507,-40.9276,-43.6131,-49.5314,-5.3201,-11.8371,-3.8648,-5.8882,-4.2928,-8.603,-0.3385,-0.7058,-0.0739,0.2201,-0.1765,-0.0613,-0.04,-0.1109,-0.0014,0.0968,-0.0219,0.0259
MYC_MYCBP,31.734375,39.26,42.4891,33.1738,0.27,0.33,0.22,0.4,0.64,0.16,-62.0747,-53.4606,-38.1399,-40.1598,-50.8161,-45.7556,-6.1695,-4.2507,-1.4147,2.8765,-3.7945,-0.8345,-0.2382,-0.0213,0.1778,0.0656,-0.0192,0.0101,-0.0713,-0.0147,-0.0069,0.0404,-0.0467,0.0011
TAL1_LMO2,31.734375,34.51,36.9992,32.8281,0.24,0.25,0.23,0.22,0.33,0.13,-74.4741,-36.642,-57.1946,-21.1719,-67.6271,-29.9693,-11.1198,-4.6418,0.2944,0.5887,-4.2477,-1.463,-0.1804,-0.0711,0.1928,0.0151,0.0028,-0.0367,-0.0937,-0.043,-0.0379,0.0057,-0.0533,-0.0204
LMO2_TAL1,31.71875,35.41,39.3357,32.4465,0.27,0.31,0.24,0.26,0.45,0.19,-44.1253,-73.9585,-24.2036,-53.9739,-33.4429,-60.5804,-0.7959,-11.4286,1.368,-1.9546,0.2138,-6.5765,-0.0748,-0.2461,0.112,0.2182,0.0134,-0.0192,-0.0689,-0.0989,0.0132,-0.0036,-0.0199,-0.0452
TP53_UBD,31.734375,57.84,60.603,56.213,0.45,0.52,0.42,0.24,0.47,0.13,-62.6864,-56.1615,-31.0357,-36.6988,-42.0776,-47.4689,-4.7896,-18.1097,-1.7093,-5.3138,-3.3089,-10.9089,-0.446,-0.0551,0.0657,0.1094,-0.1081,0.0169,-0.0926,-0.1522,-0.0174,0.0047,-0.0544,-0.074
