gene,gencodeID_transcript_MANE
SLC7A3,ENST00000374299
PAPSS2,ENST00000456849
ZNF668,ENST00000300849
DTX4,ENST00000227451
BUD13,ENST00000260210
ZBTB7C,ENST00000590800
DDX59,ENST00000331314
HAP1,ENST00000347901
CRTC3,ENST00000268184
SLC5A12,ENST00000396005
RHOT2,ENST00000315082
ZNF48,ENST00000613509
ALG9,ENST00000616540
BIRC2,ENST00000227758
GRHL1,ENST00000324907
ETFDH,ENST00000511912
SYVN1,ENST00000377190
ZNF613,ENST00000293471
FNBP1,ENST00000446176
ZNF221,ENST00000587682
ATP6V1A,ENST00000273398
DCP1B,ENST00000280665
SLC6A2,ENST00000568943
VPS33B,ENST00000333371
RFX5,ENST00000452671
SPAST,ENST00000315285
ENTPD4,ENST00000358689
ZNF266,ENST00000592904
ZNF726,ENST00000594466
KLHL36,ENST00000564996
TNFRSF11A,ENST00000586569
DBF4B,ENST00000315005
C2orf81,ENST00000684111
KLHL26,ENST00000300976
F12,ENST00000253496
PRICKLE3,ENST00000599218
ACSF2,ENST00000300441
HIC2,ENST00000407464
ANKLE1,ENST00000404085
TBKBP1,ENST00000578982
NUB1,ENST00000568733
LBR,ENST00000272163
ZNF44,ENST00000355684
MSL1,ENST00000398532
ACHE,ENST00000241069
SSX2IP,ENST00000342203
L3MBTL4,ENST00000317931
BPIFB4,ENST00000375483
DDX5,ENST00000225792
NCOA4,ENST00000581486
ZSCAN2,ENST00000546148
SLC6A12,ENST00000684302
KHDC4,ENST00000368321
ZNF276,ENST00000443381
ANKRD55,ENST00000341048
PPP1R18,ENST00000274853
MOXD1,ENST00000367963
AIFM1,ENST00000287295
CCDC116,ENST00000292779
IGSF8,ENST00000314485
GGA2,ENST00000309859
PODN,ENST00000312553
KBTBD3,ENST00000531837
COG8,ENST00000306875
PGM2,ENST00000381967
ITFG1,ENST00000320640
BEGAIN,ENST00000554140
BTBD9,ENST00000481247
LPP,ENST00000617246
CROT,ENST00000331536
PLEKHN1,ENST00000379410
RHOBTB3,ENST00000379982
FAM111A,ENST00000675163
ZSCAN12,ENST00000684592
KAT7,ENST00000259021
LTA4H,ENST00000228740
AHCYL2,ENST00000325006
CFAP100,ENST00000352312
EIF4B,ENST00000262056
POU6F1,ENST00000333640
ZNF667,ENST00000504904
SYTL3,ENST00000611299
CLGN,ENST00000325617
SLC23A3,ENST00000409878
MYNN,ENST00000349841
SELE,ENST00000333360
MEN1,ENST00000450708
ZNF823,ENST00000341191
NUMBL,ENST00000252891
XRCC6,ENST00000360079
RTKN2,ENST00000373789
ZNF571,ENST00000451802
RASGRP2,ENST00000394432
ZNF527,ENST00000436120
AFP,ENST00000395792
ALB,ENST00000295897
POGK,ENST00000367876
PDE12,ENST00000311180
C17orf80,ENST00000535032
PLCZ1,ENST00000266505
CARM1,ENST00000327064
GALNT11,ENST00000430044
TDP1,ENST00000335725
NPLOC4,ENST00000331134
ZNF384,ENST00000683879
RAP1GDS1,ENST00000408927
TCTN3,ENST00000371217
CUZD1,ENST00000392790
TBX18,ENST00000369663
ATG16L1,ENST00000392017
RYK,ENST00000623711
RPN1,ENST00000296255
ARAF,ENST00000377045
ABCD4,ENST00000356924
ZNF214,ENST00000278314
WDR1,ENST00000499869
TM9SF1,ENST00000261789
ZNF652,ENST00000430262
MAP3K7,ENST00000369329
SCAI,ENST00000336505
SCARA3,ENST00000301904
SLC26A11,ENST00000361193
MAGED2,ENST00000375068
RUFY2,ENST00000602465
FNBP1L,ENST00000271234
PPM1D,ENST00000305921
BTRC,ENST00000370187
ANKRD13D,ENST00000511455
NCAPH2,ENST00000420993
MBD1,ENST00000269468
NFE2L2,ENST00000397062
SPDL1,ENST00000265295
USP2,ENST00000260187
ZNF354A,ENST00000335815
GDPD5,ENST00000336898
IGFALS,ENST00000215539
AIFM3,ENST00000440238
DNAI2,ENST00000311014
NEIL3,ENST00000264596
ZNF300,ENST00000274599
PTGS2,ENST00000367468
DEUP1,ENST00000298050
KLHL15,ENST00000328046
BIRC3,ENST00000263464
GALNT9,ENST00000328957
GOLGA8A,ENST00000359187
GALNT10,ENST00000297107
ZNF169,ENST00000395395
MMP17,ENST00000360564
GOLGA8B,ENST00000683415
PLK1,ENST00000300093
NR2C1,ENST00000333003
HAUS3,ENST00000443786
MTM1,ENST00000370396
SLC13A3,ENST00000279027
GTPBP2,ENST00000307126
BCHE,ENST00000264381
TBX15,ENST00000369429
GRHL3,ENST00000361548
SLC6A13,ENST00000343164
GLS2,ENST00000311966
PPP2R5D,ENST00000485511
ZMYND11,ENST00000381604
ESCO2,ENST00000305188
TOP1MT,ENST00000329245
GALNTL6,ENST00000506823
TRIP10,ENST00000313244
PPP2R1B,ENST00000527614
LSR,ENST00000605618
HMGXB4,ENST00000216106
DYRK2,ENST00000344096
KBTBD8,ENST00000417314
C1orf116,ENST00000359470
ZNF90,ENST00000418063
MYEF2,ENST00000324324
MED26,ENST00000263390
INTS11,ENST00000435064
DDX55,ENST00000238146
KLHL24,ENST00000242810
PRODH,ENST00000357068
IFT74,ENST00000380062
MLPH,ENST00000264605
ST6GALNAC1,ENST00000156626
IMPDH1,ENST00000338791
PTGS1,ENST00000362012
DDX52,ENST00000617633
IL18RAP,ENST00000687160
SPATA7,ENST00000393545
SLC6A1,ENST00000287766
ZC3H12A,ENST00000373087
DACH2,ENST00000373125
ZNF343,ENST00000278772
IGF2BP2,ENST00000382199
SLC34A3,ENST00000673835
EFCC1,ENST00000683648
ARSJ,ENST00000315366
ABCE1,ENST00000296577
NUP58,ENST00000381736
CACNB1,ENST00000394303
C1orf94,ENST00000488417
POLA2,ENST00000265465
NR4A2,ENST00000339562
FBXW8,ENST00000652555
IQCB1,ENST00000310864
SLC23A1,ENST00000348729
CTIF,ENST00000256413
NR4A1,ENST00000394825
NDOR1,ENST00000684003
KLHL21,ENST00000377658
DCAF8,ENST00000368074
FRMD3,ENST00000304195
GAN,ENST00000648994
CDC23,ENST00000394886
KARS1,ENST00000302445
UNC93B1,ENST00000227471
CEP70,ENST00000264982
BRD9,ENST00000467963
C4BPA,ENST00000367070
RNGTT,ENST00000369485
LILRB2,ENST00000314446
CEACAM20,ENST00000614924
EEFSEC,ENST00000254730
MYLK2,ENST00000375985
LZTS1,ENST00000381569
PDLIM5,ENST00000317968
NET1,ENST00000355029
VPS33A,ENST00000267199
SLC5A10,ENST00000395645
IRAK3,ENST00000261233
TKTL1,ENST00000369915
NR2C2,ENST00000425241
SNX9,ENST00000392185
ODAD3,ENST00000356392
PTPN6,ENST00000318974
ZNF317,ENST00000247956
NF2,ENST00000338641
GATA6,ENST00000269216
CERCAM,ENST00000372838
SIGLEC12,ENST00000291707
ZNF467,ENST00000302017
ESR1,ENST00000206249
TNFRSF8,ENST00000263932
GBP3,ENST00000370481
SLC13A1,ENST00000194130
CBFA2T2,ENST00000342704
ZNF85,ENST00000328178
P2RX7,ENST00000328963
SLC22A14,ENST00000448498
FPGT,ENST00000370898
GLMN,ENST00000370360
SETD3,ENST00000331768
SHC3,ENST00000375835
FIP1L1,ENST00000337488
CDC14A,ENST00000336454
ARID5A,ENST00000357485
GAD1,ENST00000358196
STXBP1,ENST00000373299
MTA3,ENST00000405094
GRB10,ENST00000401949
NOP56,ENST00000329276
ACOT11,ENST00000343744
IHO1,ENST00000452691
ELF2,ENST00000686138
KLHL2,ENST00000226725
MTF2,ENST00000370298
PDE9A,ENST00000291539
CPNE5,ENST00000244751
GRN,ENST00000053867
PTH1R,ENST00000449590
TEPSIN,ENST00000637944
BBS1,ENST00000318312
EPS8L3,ENST00000361965
BIN1,ENST00000316724
RBM47,ENST00000295971
CRY2,ENST00000616080
GATAD2B,ENST00000368655
STXBP2,ENST00000221283
MIGA2,ENST00000684074
PTPN11,ENST00000351677
ARSD,ENST00000381154
PRKCZ,ENST00000378567
ATIC,ENST00000236959
FRRS1,ENST00000646001
RNF180,ENST00000389100
SLC6A20,ENST00000358525
TTLL2,ENST00000239587
HPSE2,ENST00000370552
CANX,ENST00000247461
TSKS,ENST00000246801
SLC13A2,ENST00000314669
TAF15,ENST00000605844
TCTN1,ENST00000397659
BRAP,ENST00000419234
PGBD2,ENST00000329291
GBP1,ENST00000370473
EYA1,ENST00000340726
SPPL2B,ENST00000613503
CCDC148,ENST00000283233
SPATC1,ENST00000377470
SLC19A1,ENST00000311124
LILRB5,ENST00000449561
ZWILCH,ENST00000307897
C8B,ENST00000371237
CTPS1,ENST00000650070
EBF1,ENST00000313708
SYT3,ENST00000600079
SLAIN1,ENST00000418532
ZNF285,ENST00000614994
ARSF,ENST00000381127
PWWP2B,ENST00000305233
ANKRD13A,ENST00000261739
SELENON,ENST00000361547
SBSN,ENST00000452271
LRRTM4,ENST00000409884
NPAS1,ENST00000602212
PPP2R1A,ENST00000322088
CLEC4F,ENST00000272367
HNRNPL,ENST00000221419
SLC17A8,ENST00000323346
PLBD2,ENST00000280800
ZBTB46,ENST00000245663
ARSL,ENST00000381134
POF1B,ENST00000262753
CSRNP1,ENST00000273153
SENP2,ENST00000296257
UBQLN1,ENST00000376395
ZNF599,ENST00000329285
GPR162,ENST00000311268
TRIM29,ENST00000341846
ZNF676,ENST00000397121
DYRK3,ENST00000367109
CAMKK2,ENST00000404169
CAMK2G,ENST00000423381
ASB15,ENST00000451215
CPEB1,ENST00000684509
SLFN12L,ENST00000628453
NME8,ENST00000199447
PES1,ENST00000354694
TAF1B,ENST00000263663
SACM1L,ENST00000389061
ALAS2,ENST00000650242
DLL3,ENST00000356433
REL,ENST00000394479
FPGS,ENST00000373247
ZNF496,ENST00000682384
CDK5RAP1,ENST00000346416
NACC2,ENST00000277554
KLHL3,ENST00000309755
MAPK4,ENST00000400384
RANGAP1,ENST00000356244
IRF2BP2,ENST00000366609
FLAD1,ENST00000292180
GAB3,ENST00000424127
ATAD3A,ENST00000378756
CLHC1,ENST00000401408
CTPS2,ENST00000359276
KLHL7,ENST00000339077
ZNF92,ENST00000328747
GGT5,ENST00000327365
ACSM3,ENST00000289416
EZR,ENST00000367075
A1CF,ENST00000373997
LMNB1,ENST00000261366
SEPTIN9,ENST00000427177
ZNF614,ENST00000270649
BEST1,ENST00000378043
LGALS3BP,ENST00000262776
GAD2,ENST00000376261
CSRNP3,ENST00000651982
FAM151A,ENST00000302250
FAM83D,ENST00000619850
EIF2A,ENST00000460851
MPP3,ENST00000398389
SWAP70,ENST00000318950
YTHDF3,ENST00000539294
IKZF4,ENST00000547167
FAM13C,ENST00000618804
APPBP2,ENST00000083182
KCNC1,ENST00000265969
PRR14,ENST00000300835
ME2,ENST00000321341
BTN3A3,ENST00000244519
SHC1,ENST00000448116
KRT10,ENST00000269576
ZBTB7A,ENST00000322357
POTED,ENST00000299443
EIF2D,ENST00000271764
SLC8B1,ENST00000680972
IPP,ENST00000396478
C8A,ENST00000361249
ZNF677,ENST00000598513
ADAD2,ENST00000315906
RALGPS2,ENST00000367635
CFI,ENST00000394634
ALCAM,ENST00000306107
KLHL35,ENST00000539798
RDX,ENST00000645495
NUDCD1,ENST00000239690
TREH,ENST00000264029
TOR1AIP1,ENST00000606911
ATL2,ENST00000378954
TTC39C,ENST00000317571
PRORP,ENST00000534898
MTDH,ENST00000336273
ZNF326,ENST00000340281
TRAFD1,ENST00000412615
GNL3L,ENST00000360845
FKBP10,ENST00000321562
MMP14,ENST00000311852
SHOC2,ENST00000369452
SYN2,ENST00000621198
DCP1A,ENST00000610213
LARP7,ENST00000344442
PYROXD2,ENST00000370575
PIGQ,ENST00000321878
POTEB3,ENST00000611217
TRIP4,ENST00000261884
MATN4,ENST00000372756
SLC15A3,ENST00000227880
KLHL38,ENST00000684634
SLAIN2,ENST00000264313
ENOX2,ENST00000394363
SLC9A8,ENST00000361573
NELFCD,ENST00000652272
SLC5A7,ENST00000264047
PHF19,ENST00000373896
ADCK5,ENST00000308860
CDC25B,ENST00000245960
METTL3,ENST00000298717
ACOXL,ENST00000439055
TRAPPC14,ENST00000316937
TRIM45,ENST00000256649
CCNK,ENST00000389879
CDKN2AIP,ENST00000504169
PHACTR1,ENST00000332995
ARHGEF25,ENST00000286494
SP140L,ENST00000415673
GPC3,ENST00000370818
FBXO24,ENST00000241071
PIGZ,ENST00000412723
GPC2,ENST00000292377
NR1D2,ENST00000312521
PARPBP,ENST00000327680
CDKAL1,ENST00000274695
RELB,ENST00000221452
CDC40,ENST00000307731
IGF2BP3,ENST00000258729
BCO2,ENST00000357685
YTHDF2,ENST00000373812
FLCN,ENST00000285071
ZNF248,ENST00000395867
MFRP,ENST00000619721
ACSM5,ENST00000331849
GRK4,ENST00000398052
PXK,ENST00000356151
SLFN12,ENST00000304905
KRT77,ENST00000341809
NOX4,ENST00000263317
CFHR4,ENST00000608469
PIGT,ENST00000279036
HACL1,ENST00000321169
RFTN1,ENST00000334133
STS,ENST00000674429
RARS2,ENST00000369536
IL10RA,ENST00000227752
ZKSCAN8,ENST00000330236
EDEM2,ENST00000374492
GRAMD4,ENST00000406902
ZUP1,ENST00000368576
INAVA,ENST00000413687
ACSM2A,ENST00000573854
MSN,ENST00000360270
IGF2BP1,ENST00000290341
OPTN,ENST00000378747
ST7,ENST00000323984
FCAMR,ENST00000324852
SHQ1,ENST00000325599
CSTF2,ENST00000372972
ZNF880,ENST00000422689
TBL1X,ENST00000645353
THAP4,ENST00000407315
ACSM1,ENST00000520010
MSL2,ENST00000309993
SLC22A16,ENST00000368919
HAS1,ENST00000540069
ACSM2B,ENST00000329697
ZNF211,ENST00000240731
KIAA1328,ENST00000280020
TTC39A,ENST00000680483
STAU1,ENST00000371856
TOX3,ENST00000219746
CNBD2,ENST00000373973
ADAD1,ENST00000296513
ZNF791,ENST00000343325
MGRN1,ENST00000262370
PGLYRP2,ENST00000340880
ZNF431,ENST00000311048
EPN1,ENST00000270460
MPP7,ENST00000683449
ACSF3,ENST00000614302
GRK6,ENST00000355472
WFIKKN2,ENST00000311378
RSPRY1,ENST00000394420
ZNF674,ENST00000683375
ZNF619,ENST00000432264
SH2D3A,ENST00000245908
FUT8,ENST00000673929
TMEM108,ENST00000321871
ST7L,ENST00000358039
GASK1A,ENST00000430121
POLL,ENST00000370162
TFE3,ENST00000315869
IL1RL2,ENST00000264257
CES5A,ENST00000290567
PPP2R3B,ENST00000390665
ZNF587,ENST00000339656
WSCD1,ENST00000317744
ZNF417,ENST00000312026
EBF2,ENST00000520164
AOAH,ENST00000617537
SH2B3,ENST00000341259
POC5,ENST00000428202
PKLR,ENST00000342741
GAB4,ENST00000400588
SQLE,ENST00000265896
C2orf42,ENST00000264434
FOXJ2,ENST00000162391
PODNL1,ENST00000588872
SLC1A2,ENST00000278379
CDC7,ENST00000234626
KLHL18,ENST00000232766
MBD4,ENST00000429544
NT5E,ENST00000257770
LOXL1,ENST00000261921
TRIM23,ENST00000231524
MARCHF8,ENST00000453424
EYA3,ENST00000373871
ZNF10,ENST00000248211
ASPG,ENST00000551177
AMHR2,ENST00000257863
HSPD1,ENST00000388968
DPYSL4,ENST00000338492
ZYX,ENST00000322764
EXD1,ENST00000458580
FUBP3,ENST00000319725
RTP5,ENST00000343216
ZNF98,ENST00000357774
PNPLA1,ENST00000636260
TLE6,ENST00000246112
ISM2,ENST00000342219
RNF168,ENST00000318037
KLHL28,ENST00000396128
IFFO1,ENST00000619571
TESK2,ENST00000372086
CES3,ENST00000303334
CCM2L,ENST00000452892
ZNF181,ENST00000492450
ZBTB44,ENST00000357899
TM7SF3,ENST00000343028
ENAH,ENST00000366843
VPS45,ENST00000644510
PARP2,ENST00000429687
EME1,ENST00000338165
ZNF430,ENST00000261560
FKBP9,ENST00000242209
CYBB,ENST00000378588
STAU2,ENST00000524300
FRMD5,ENST00000417257
HEATR9,ENST00000604834
FAM227A,ENST00000535113
SLC47A1,ENST00000270570
IL1RAP,ENST00000447382
MSTO1,ENST00000245564
CDKL2,ENST00000307465
GGT1,ENST00000400382
PRKAG2,ENST00000287878
SLC43A2,ENST00000301335
ZNF583,ENST00000333201
IL1R1,ENST00000410023
TTC22,ENST00000371276
ARSI,ENST00000328668
NPRL3,ENST00000611875
WDR20,ENST00000342702
CFHR5,ENST00000256785
ZNF273,ENST00000476120
CD96,ENST00000352690
MEX3B,ENST00000329713
RABEP2,ENST00000358201
CES1,ENST00000360526
ACCSL,ENST00000378832
ZNF675,ENST00000359788
SGPL1,ENST00000373202
MLLT3,ENST00000380338
SLC13A5,ENST00000433363
KLHL12,ENST00000367261
TRAF3,ENST00000392745
RIOK1,ENST00000379834
SLC30A9,ENST00000264451
LMF1,ENST00000262301
RABGGTA,ENST00000216840
IL4I1,ENST00000391826
RANBP3,ENST00000340578
DGKE,ENST00000284061
TMPRSS13,ENST00000524993
PGM5,ENST00000396396
PPP1R16B,ENST00000299824
TAPT1,ENST00000405303
TGFBR2,ENST00000295754
NEPRO,ENST00000314400
FBXW4,ENST00000331272
PHF1,ENST00000374516
ZNF512,ENST00000355467
SRPK3,ENST00000370101
ZNF69,ENST00000429654
MCOLN2,ENST00000370608
RINL,ENST00000591812
OTUD5,ENST00000376488
SLC47A2,ENST00000433844
CDC45,ENST00000263201
MUC21,ENST00000376296
TYSND1,ENST00000287078
RNF220,ENST00000361799
ZNF530,ENST00000597700
FBXW5,ENST00000325285
DONSON,ENST00000303071
MIER1,ENST00000401041
ANAPC7,ENST00000455511
NPNT,ENST00000379987
BIN2,ENST00000615107
USP39,ENST00000323701
PTPN5,ENST00000358540
WSCD2,ENST00000547525
DEAF1,ENST00000382409
TRAF3IP2,ENST00000368761
USP21,ENST00000368002
OVCH2,ENST00000533663
EIF3L,ENST00000652021
ANTXR1,ENST00000303714
CARS2,ENST00000257347
NOX1,ENST00000372966
CPNE8,ENST00000331366
COASY,ENST00000393818
SLC1A6,ENST00000594383
DPYSL5,ENST00000288699
TRIM16,ENST00000649191
MCCC2,ENST00000340941
CTNNBL1,ENST00000361383
RTKN,ENST00000272430
CCDC63,ENST00000308208
FBXW11,ENST00000517395
ZKSCAN1,ENST00000324306
TPP1,ENST00000299427
NCLN,ENST00000246117
ASIC2,ENST00000225823
ZNF461,ENST00000588268
FAM114A1,ENST00000358869
ZNF529,ENST00000591340
ZNF257,ENST00000594947
GMEB1,ENST00000373816
CCDC38,ENST00000344280
ZNF879,ENST00000444149
ALDH4A1,ENST00000375341
METTL16,ENST00000263092
OTOP2,ENST00000331427
MMP25,ENST00000336577
PLAT,ENST00000220809
KASH5,ENST00000447857
PGM1,ENST00000371084
PIP5K1A,ENST00000368888
AGFG1,ENST00000310078
ZNF460,ENST00000360338
SYTL1,ENST00000616558
FAM222B,ENST00000581407
AK5,ENST00000354567
DMRT2,ENST00000358146
SLC38A9,ENST00000396865
ZNF37A,ENST00000685332
SH3BP2,ENST00000503393
EFS,ENST00000216733
CENPT,ENST00000562787
ASNS,ENST00000394308
ZNF394,ENST00000337673
CHST15,ENST00000435907
SLC11A2,ENST00000262052
TMEM209,ENST00000397622
NT5C2,ENST00000404739
TDRKH,ENST00000368824
SLC17A7,ENST00000221485
CDC6,ENST00000209728
GPNMB,ENST00000258733
SLC1A7,ENST00000371494
PRIMPOL,ENST00000314970
ARID3B,ENST00000346246
CBX4,ENST00000269397
HABP2,ENST00000351270
LRRIQ4,ENST00000340806
AATF,ENST00000619387
RIC8B,ENST00000392837
LMOD3,ENST00000420581
ADGRA1,ENST00000392607
IQANK1,ENST00000527139
TBC1D24,ENST00000646147
SLC49A3,ENST00000322224
MSANTD2,ENST00000374979
NXPE3,ENST00000273347
CES2,ENST00000317091
BORA,ENST00000390667
PRKAA1,ENST00000397128
C9,ENST00000263408
DNAJC11,ENST00000377577
GALNT1,ENST00000269195
PHACTR3,ENST00000371015
PUF60,ENST00000526683
GK,ENST00000427190
MKS1,ENST00000393119
DCAF10,ENST00000377724
SLC43A1,ENST00000278426
YTHDF1,ENST00000370339
GLUD1,ENST00000277865
PODXL,ENST00000378555
GPI,ENST00000356487
SPATS2L,ENST00000409140
ZIM2,ENST00000629319
FANCC,ENST00000289081
GALNT16,ENST00000448469
ATL1,ENST00000358385
ABHD16A,ENST00000395952
GPC1,ENST00000264039
MARVELD2,ENST00000325631
NSRP1,ENST00000247026
CPNE7,ENST00000319518
ISYNA1,ENST00000338128
GATB,ENST00000263985
RALGPS1,ENST00000259351
ARIH1,ENST00000379887
LGI1,ENST00000371418
TRAF5,ENST00000261464
PTBP1,ENST00000356948
HNF1B,ENST00000617811
IFNAR1,ENST00000270139
CNOT6,ENST00000261951
NT5DC2,ENST00000422318
SLC22A5,ENST00000245407
TBCCD1,ENST00000338733
CPNE4,ENST00000429747
PDPK1,ENST00000342085
PGS1,ENST00000262764
HEXB,ENST00000261416
GALNT13,ENST00000392825
CD19,ENST00000538922
HIRIP3,ENST00000279392
IL1RL1,ENST00000233954
TCP1,ENST00000321394
ZNF250,ENST00000417550
FBXO33,ENST00000298097
ZNF415,ENST00000243643
RAD21L1,ENST00000683101
TMEM87A,ENST00000389834
PRF1,ENST00000441259
PIGS,ENST00000308360
MON1A,ENST00000296473
ZNF714,ENST00000456283
ZNF57,ENST00000306908
ITPRIPL1,ENST00000439118
DAB1,ENST00000371236
EPHX2,ENST00000521400
CNOT6L,ENST00000504123
TMEM87B,ENST00000283206
SLC22A2,ENST00000366953
NEURL1B,ENST00000369800
CNKSR3,ENST00000607772
SMOX,ENST00000305958
SLC22A1,ENST00000366963
ZNF205,ENST00000219091
DNAJC1,ENST00000376980
PIGB,ENST00000164305
GABRA4,ENST00000264318
CSF1,ENST00000329608
ZNF426,ENST00000253115
HP1BP3,ENST00000438032
IL20RA,ENST00000316649
GLYR1,ENST00000321919
GLP2R,ENST00000262441
GRK7,ENST00000682958
PLBD1,ENST00000240617
SLC22A9,ENST00000279178
EGFL6,ENST00000361306
MCOLN3,ENST00000370589
ZNF324,ENST00000196482
RCOR3,ENST00000419091
ASPSCR1,ENST00000306739
STXBP4,ENST00000376352
CPNE9,ENST00000383832
HAS3,ENST00000569188
ATP5F1A,ENST00000398752
SLC22A12,ENST00000377574
SLC22A24,ENST00000612278
GNS,ENST00000258145
C12orf4,ENST00000261250
MPP2,ENST00000269095
GPR107,ENST00000347136
FAM234A,ENST00000399932
LRRC31,ENST00000316428
RIOK2,ENST00000283109
SMAD4,ENST00000342988
GALNT14,ENST00000349752
CBS,ENST00000398165
SHISA6,ENST00000441885
EIF2AK2,ENST00000233057
IL2RB,ENST00000216223
FGGY,ENST00000303721
TRIM8,ENST00000643721
MUS81,ENST00000308110
RCBTB2,ENST00000344532
CLCC1,ENST00000369969
SESN1,ENST00000436639
CPSF6,ENST00000435070
TPTE,ENST00000618007
GLDN,ENST00000335449
PALMD,ENST00000263174
TRAF3IP3,ENST00000367025
RELA,ENST00000406246
CFAP45,ENST00000368099
ZNF382,ENST00000292928
SLC11A1,ENST00000233202
COCH,ENST00000396618
DGCR2,ENST00000263196
SOAT1,ENST00000367619
LRIT2,ENST00000372113
DET1,ENST00000268148
CTTN,ENST00000301843
C10orf67,ENST00000636213
IDS,ENST00000340855
SLC22A11,ENST00000301891
MIER3,ENST00000381199
HOMEZ,ENST00000357460
PTH2R,ENST00000272847
ATG13,ENST00000683050
SLC22A6,ENST00000360421
CCDC60,ENST00000327554
NECTIN3,ENST00000485303
GNL3,ENST00000418458
MTMR9,ENST00000221086
ZNF18,ENST00000580306
FASTK,ENST00000297532
OSGIN2,ENST00000451899
RPS6KL1,ENST00000557413
ADGRG3,ENST00000333493
SLC33A1,ENST00000643144
TBC1D3B,ENST00000611257
FRMD1,ENST00000283309
ZNF71,ENST00000599599
TBC1D3L,ENST00000612727
EIF3D,ENST00000216190
WRAP53,ENST00000396463
NARS1,ENST00000256854
CPNE2,ENST00000290776
LGI3,ENST00000306317
UCKL1,ENST00000354216
ERF,ENST00000222329
TRIM55,ENST00000315962
SVOP,ENST00000610966
MGAT4B,ENST00000292591
CCT8,ENST00000286788
GTF2H1,ENST00000265963
SLC22A7,ENST00000372585
REC8,ENST00000611366
ARHGAP36,ENST00000276211
DDX56,ENST00000258772
SLC22A15,ENST00000369503
SLC22A25,ENST00000306494
SLC38A4,ENST00000266579
CLIP3,ENST00000360535
LACTB,ENST00000261893
MON1B,ENST00000248248
ELP3,ENST00000256398
BCO1,ENST00000258168
ICAM3,ENST00000160262
SCP2,ENST00000371514
TXLNA,ENST00000373610
PRPF38B,ENST00000370025
FAM124A,ENST00000322475
ZNF783,ENST00000434415
TBX4,ENST00000644296
C1orf87,ENST00000371201
ILDR1,ENST00000344209
AAAS,ENST00000209873
PAK1,ENST00000356341
STK39,ENST00000355999
SPATS2,ENST00000552918
MIER2,ENST00000264819
SUOX,ENST00000266971
RPUSD2,ENST00000315616
OIT3,ENST00000334011
MARCHF1,ENST00000514618
RTN2,ENST00000245923
CCT3,ENST00000295688
ZNF548,ENST00000336128
DBR1,ENST00000260803
NXPE4,ENST00000375478
CYP2U1,ENST00000332884
CDYL,ENST00000397588
COQ8B,ENST00000324464
POTEB2,ENST00000454856
PAK3,ENST00000372007
POTEB,ENST00000439682
CCDC82,ENST00000646818
ANKUB1,ENST00000446160
ZSCAN25,ENST00000394152
ANGEL2,ENST00000366962
ZNF324B,ENST00000336614
MAPK15,ENST00000338033
ZNF502,ENST00000436624
WDR25,ENST00000402312
P4HA3,ENST00000331597
STIP1,ENST00000305218
CCT7,ENST00000258091
PATL2,ENST00000682850
YES1,ENST00000314574
RETREG2,ENST00000430297
CYP1B1,ENST00000610745
KCNN1,ENST00000684775
GPR108,ENST00000264080
EHD2,ENST00000263277
ZCCHC7,ENST00000336755
CHEK2,ENST00000404276
ACRBP,ENST00000229243
HPSE,ENST00000311412
DALRD3,ENST00000341949
KCNK10,ENST00000319231
TULP1,ENST00000229771
DMRTA2,ENST00000404795
SLC22A8,ENST00000336232
RNF217,ENST00000521654
SLC1A3,ENST00000265113
POTEC,ENST00000358970
TERF2,ENST00000254942
HNRNPLL,ENST00000449105
ABI2,ENST00000261018
ZNF100,ENST00000358296
LIN9,ENST00000681046
PGM3,ENST00000513973
OGFOD1,ENST00000566157
SNX27,ENST00000458013
UBOX5,ENST00000217173
WLS,ENST00000262348
IL18R1,ENST00000233957
UGT8,ENST00000310836
DNAAF3,ENST00000524407
RFT1,ENST00000296292
SLC22A10,ENST00000332793
NPR3,ENST00000265074
NR5A2,ENST00000367362
CCT5,ENST00000280326
ATL3,ENST00000398868
FAM20A,ENST00000592554
ANKRD13C,ENST00000370944
SLC1A5,ENST00000542575
PLA2G4C,ENST00000599921
FTCD,ENST00000397746
ZNF513,ENST00000323703
COL23A1,ENST00000390654
SLC39A5,ENST00000454355
ZNF519,ENST00000590202
UBP1,ENST00000283629
ZP4,ENST00000366570
SNTB2,ENST00000336278
RIPK2,ENST00000220751
LMBRD1,ENST00000649934
STAM,ENST00000377524
ZNF136,ENST00000343979
PIP5K1B,ENST00000265382
GRB14,ENST00000263915
ECM1,ENST00000369047
SLC2A9,ENST00000264784
CNOT2,ENST00000229195
CCDC149,ENST00000635206
PALS2,ENST00000222644
MAVS,ENST00000428216
ZNF768,ENST00000380412
CCT4,ENST00000394440
ALDH7A1,ENST00000409134
PCCB,ENST00000251654
ZNF34,ENST00000429371
ZBTB7B,ENST00000535420
ASIC4,ENST00000358078
NTNG1,ENST00000370068
TRIM26,ENST00000454678
FBXL6,ENST00000331890
KPNA5,ENST00000368564
CSPG5,ENST00000264723
GDPD2,ENST00000374382
SNTG2,ENST00000308624
FBXO31,ENST00000311635
ZNF554,ENST00000317243
EYA2,ENST00000327619
SNTB1,ENST00000517992
RBBP5,ENST00000264515
AJUBA,ENST00000262713
CLPTM1L,ENST00000320895
NAPRT,ENST00000449291
IL21R,ENST00000337929
NECTIN2,ENST00000252483
SPATA18,ENST00000295213
